unit_id,community_id,unit_type,monthly_rent,snapshot_date,source_file,ingestion_timestamp
U00911,C936,IL,5830,2025-01-01,yardi_units_2025_01.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-01-01,yardi_units_2025_01.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-01-01,yardi_units_2025_01.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-01-01,yardi_units_2025_01.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-01-01,yardi_units_2025_01.csv,2026-09-18T13:17:14.318233
U00911,C936,IL,5830,2025-02-01,yardi_units_2025_02.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-02-01,yardi_units_2025_02.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-02-01,yardi_units_2025_02.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-02-01,yardi_units_2025_02.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-02-01,yardi_units_2025_02.csv,2026-09-18T13:17:14.318233
U00911,C936,IL,5830,2025-03-01,yardi_units_2025_03.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-03-01,yardi_units_2025_03.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-03-01,yardi_units_2025_03.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-03-01,yardi_units_2025_03.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-03-01,yardi_units_2025_03.csv,2026-09-18T13:17:14.318233
U00911,C936,IL,5830,2025-04-01,yardi_units_2025_04.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-04-01,yardi_units_2025_04.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-04-01,yardi_units_2025_04.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-04-01,yardi_units_2025_04.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-04-01,yardi_units_2025_04.csv,2026-09-18T13:17:14.318233
U00911,C936,IL,5830,2025-05-01,yardi_units_2025_05.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-05-01,yardi_units_2025_05.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-05-01,yardi_units_2025_05.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-05-01,yardi_units_2025_05.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-05-01,yardi_units_2025_05.csv,2026-09-18T13:17:14.318233
U00911,C936,IL,5830,2025-06-01,yardi_units_2025_06.csv,2026-09-18T13:17:14.318233
U00912,C969,AL,4411,2025-06-01,yardi_units_2025_06.csv,2026-09-18T13:17:14.318233
U00913,C951,MC,6422,2025-06-01,yardi_units_2025_06.csv,2026-09-18T13:17:14.318233
U00914,C934,MC,5922,2025-06-01,yardi_units_2025_06.csv,2026-09-18T13:17:14.318233
U00915,C905,MC,6519,2025-06-01,yardi_units_2025_06.csv,2026-09-18T13:17:14.318233
